street_id,name_street,ward_id
'7021','Phố Yên Mỹ','07007'
'7022','Phố Thanh Trì','07008'
'7023','Phố Ngũ Hiệp','07008'
'7024','Phố Tứ Hiệp','07008'
'7025','Phố Làng Tám','07009'
'7026','Phố Thạch Bàn','07009'
'7027','Phố Kim Đồng','07009'
'7028','Phố Thịnh Liệt','07010'
'7029','Phố Thanh Liệt','07010'
'7030','Phố Linh Đàm','07010'
'8001','Phố Hạ Đình','08001'
'8002','Phố Nguyễn Xiển','08001'
'8003','Phố Giải Phóng','08001'
'8004','Phố Khương Đình','08002'
'8005','Phố Khương Hạ','08002'
'8006','Phố Hoàng Ngọc Phách','08002'
'8007','Phố Khương Mai','08003'
'8008','Phố Lê Trọng Tấn','08003'
'8009','Phố Vũ Tông Phan','08003'
'8010','Phố Nhân Chính','08004'
'8011','Phố Nguyễn Tuân','08004'
'8012','Phố Lê Văn Lương','08004'
'8013','Phố Thanh Xuân Bắc','08005'
'8014','Phố Khuất Duy Tiến','08005'
'8015','Phố Hoàng Ngọc Phách','08005'
'8016','Phố Thanh Xuân Nam','08006'
'8017','Phố Nguyễn Trãi','08006'
'8018','Phố Giải Phóng','08006'
'8019','Phố Thượng Đình','08007'
'8020','Phố Lê Trọng Tấn','08007'
'8021','Phố Nguyễn Hữu Thọ','08007'
'8022','Phố Tân Triều','08008'
'8023','Phố Nguyễn Thị Thập','08008'
'8024','Phố Nguyễn Tất Thành','08008'
'8025','Phố Tô Hiệu','08009'
'8026','Phố Đường Láng','08009'
'8027','Phố Cầu Giấy','08009'
'8028','Phố Trung Hòa','08010'
'8029','Phố Trung Kính','08010'
'8030','Phố Yên Hòa','08010'
'9001','Phố Cổ Nhuế','09001'
'9002','Phố Đại Cồ Việt','09001'
'9003','Phố Minh Khai','09001'
'9004','Phố Cổ Nhuế','09002'
'9005','Phố Phạm Văn Đồng','09002'
'9006','Phố Quang Trung','09002'
'9007','Phố Minh Khai','09003'
'9008','Phố Nguyễn Văn Cừ','09003'
'9009','Phố Giải Phóng','09003'
'9010','Phố Phú Diễn','09004'
'9011','Phố Phúc Diễn','09004'
'9012','Phố Đông Ngạc','09004'
'9013','Phố Phúc Diễn','09005'
'9014','Phố Bạch Mai','09005'
'9015','Phố Giải Phóng','09005'
'9016','Phố Tây Tựu','09006'
'9017','Phố Yên Hòa','09006'
'9018','Phố Nguyễn Văn Cừ','09006'
'9019','Phố Đông Ngạc','09007'
'9020','Phố Giải Phóng','09007'
'9021','Phố Phúc Diễn','09007'
'9022','Phố Thượng Cát','09008'
'9023','Phố Liên Mạc','09008'
'9024','Phố Tựu Bắc','09008'
'9025','Phố Liên Mạc','09009'
'9026','Phố Tôn Đức Thắng','09009'
'9027','Phố Nguyễn Du','09009'
'9028','Phố Xuân Đỉnh','09010'
'9029','Phố Phúc Diễn','09010'
'9030','Phố Nguyễn Văn Cừ','09010'
